"","A1_1","A1_2","A1_3","B1_1","B1_2","B1_3","C1_1","C1_2","C1_3"
"Glyma.01G007800.Wm82.a2.v1",685,281,530,472,356,340,96,56,100
"Glyma.01G007900.Wm82.a2.v1",6,0,16,18,0,0,1,0,1
"Glyma.01G008000.Wm82.a2.v1",330,346,368,344,302,301,177,108,148
"Glyma.01G008100.Wm82.a2.v1",0,0,2,0,0,0,0,0,0
"Glyma.01G008200.Wm82.a2.v1",1,0,6,1,0,7,0,0,0
"Glyma.01G008300.Wm82.a2.v1",1,11,14,0,0,1,0,0,0
"Glyma.01G008400.Wm82.a2.v1",262,260,301,138,130,140,112,97,67
"Glyma.01G008500.Wm82.a2.v1",1832,560,1051,297,399,210,857,665,156
"Glyma.01G008600.Wm82.a2.v1",1822,1043,1398,1156,923,883,929,685,797
"Glyma.01G008700.Wm82.a2.v1",190,57,120,15,27,40,25,8,29
"Glyma.01G008800.Wm82.a2.v1",503,310,361,299,342,225,194,154,164
"Glyma.01G008900.Wm82.a2.v1",440,243,417,350,358,279,287,234,179
"Glyma.01G009000.Wm82.a2.v1",2,0,19,1,11,10,44,10,1
"Glyma.01G009100.Wm82.a2.v1",0,0,0,0,0,0,0,0,1
"Glyma.01G009200.Wm82.a2.v1",80,46,54,28,83,47,39,29,44
"Glyma.01G009300.Wm82.a2.v1",3418,2222,2758,4896,4117,3826,1613,1495,1306
"Glyma.01G009400.Wm82.a2.v1",180,120,123,78,117,100,88,96,62
"Glyma.01G009500.Wm82.a2.v1",34,22,18,7,25,12,3,5,14
"Glyma.01G009600.Wm82.a2.v1",59,38,28,19,46,16,22,12,7
"Glyma.01G009700.Wm82.a2.v1",4151,3282,3636,1612,1350,955,444,274,546
"Glyma.01G009800.Wm82.a2.v1",475,209,303,237,228,198,124,81,100
"Glyma.01G009900.Wm82.a2.v1",225,232,158,99,139,113,90,62,67
"Glyma.01G010000.Wm82.a2.v1",182,114,140,133,118,79,62,70,62
"Glyma.01G010100.Wm82.a2.v1",399,232,294,149,105,113,82,31,48
"Glyma.01G010200.Wm82.a2.v1",1595,1090,1190,1880,1352,1573,652,390,317
"Glyma.01G010300.Wm82.a2.v1",1056,867,924,638,686,411,549,489,298
"Glyma.01G010400.Wm82.a2.v1",1336,754,1068,1042,783,748,1071,887,799
"Glyma.01G010500.Wm82.a2.v1",57,93,236,52,50,22,15,5,7
"Glyma.01G010600.Wm82.a2.v1",574,424,398,410,513,441,416,315,327
"Glyma.01G010700.Wm82.a2.v1",0,0,0,0,0,4,0,0,5
"Glyma.01G010800.Wm82.a2.v1",208,131,147,113,81,125,67,69,83
"Glyma.01G010900.Wm82.a2.v1",148,130,133,236,308,311,255,277,251
"Glyma.01G011000.Wm82.a2.v1",28,28,19,36,0,0,7,1,1
"Glyma.01G011100.Wm82.a2.v1",703,575,604,679,622,630,463,423,393
"Glyma.01G011200.Wm82.a2.v1",903,566,754,823,561,628,395,292,397
"Glyma.01G011300.Wm82.a2.v1",319,309,268,316,265,251,200,91,77
"Glyma.01G011400.Wm82.a2.v1",107,90,69,83,103,42,56,58,52
"Glyma.01G011500.Wm82.a2.v1",0,0,0,1,2,0,0,0,2
"Glyma.01G011600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G011700.Wm82.a2.v1",53,67,44,100,30,47,24,17,17
"Glyma.01G011800.Wm82.a2.v1",0,0,0,0,1,1,0,0,0
"Glyma.01G011900.Wm82.a2.v1",0,0,0,0,0,1,0,0,6
"Glyma.01G012000.Wm82.a2.v1",4,0,0,0,0,0,0,0,7
"Glyma.01G012100.Wm82.a2.v1",0,0,0,0,0,5,0,0,1
"Glyma.01G012200.Wm82.a2.v1",1,0,0,1,0,0,0,1,0
"Glyma.01G012300.Wm82.a2.v1",44,4,36,23,33,31,25,16,15
"Glyma.01G012400.Wm82.a2.v1",148,171,67,198,159,139,200,133,95
"Glyma.01G012500.Wm82.a2.v1",748,388,693,686,675,625,893,722,588
"Glyma.01G012600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G012700.Wm82.a2.v1",326,368,309,556,432,343,345,271,262
"Glyma.01G012800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G012900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G013000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G013100.Wm82.a2.v1",17,14,1,1,0,4,0,0,8
"Glyma.01G013200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G013300.Wm82.a2.v1",38,22,17,20,30,11,0,0,4
"Glyma.01G013400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G013500.Wm82.a2.v1",48,25,51,6,4,0,0,1,0
"Glyma.01G013600.Wm82.a2.v1",431,289,324,372,352,302,229,158,153
"Glyma.01G013700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G013800.Wm82.a2.v1",214,156,157,118,66,96,40,46,42
"Glyma.01G013900.Wm82.a2.v1",451,456,347,101,210,48,59,30,13
"Glyma.01G014000.Wm82.a2.v1",297,172,347,41,58,29,63,84,20
"Glyma.01G014100.Wm82.a2.v1",223,125,176,61,52,44,26,33,66
"Glyma.01G014200.Wm82.a2.v1",177,132,174,76,59,90,40,28,62
"Glyma.01G014300.Wm82.a2.v1",0,0,0,0,0,1,0,0,0
"Glyma.01G014400.Wm82.a2.v1",237,171,238,192,222,147,139,107,90
"Glyma.01G014500.Wm82.a2.v1",299,224,271,215,242,209,187,168,152
"Glyma.01G014600.Wm82.a2.v1",1937,1211,1654,996,788,811,683,437,454
"Glyma.01G014700.Wm82.a2.v1",486,355,534,452,314,275,85,57,54
"Glyma.01G014800.Wm82.a2.v1",339,253,287,328,309,323,220,191,278
"Glyma.01G014900.Wm82.a2.v1",187,165,95,269,224,215,126,129,87
"Glyma.01G015000.Wm82.a2.v1",2314,1224,1802,1420,1200,1065,847,672,666
