"","A1_1","A1_2","A1_3","B1_1","B1_2","B1_3","C1_1","C1_2","C1_3"
"Glyma.04G082600.Wm82.a2.v1",3,3,0,0,0,0,0,0,0
"Glyma.04G082700.Wm82.a2.v1",60,91,68,319,360,313,303,253,240
"Glyma.04G082800.Wm82.a2.v1",21,5,1,18,14,15,10,10,29
"Glyma.04G082900.Wm82.a2.v1",132,118,110,86,81,87,81,50,42
"Glyma.04G083000.Wm82.a2.v1",43,99,63,68,68,49,4,6,9
"Glyma.04G083100.Wm82.a2.v1",95,76,82,63,53,86,3,2,2
"Glyma.04G083200.Wm82.a2.v1",132,90,113,11,15,5,2,0,1
"Glyma.04G083300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G083400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G083500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G083600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G083700.Wm82.a2.v1",1,0,0,6,0,0,0,0,0
"Glyma.04G083800.Wm82.a2.v1",184,183,150,229,122,201,180,153,119
"Glyma.04G083900.Wm82.a2.v1",176,218,163,320,333,331,420,370,328
"Glyma.04G084000.Wm82.a2.v1",48,71,61,57,44,62,95,35,62
"Glyma.04G084100.Wm82.a2.v1",1,0,0,1,0,0,0,0,0
"Glyma.04G084200.Wm82.a2.v1",138,44,100,132,109,157,93,98,90
"Glyma.04G084300.Wm82.a2.v1",681,376,515,604,449,481,320,288,254
"Glyma.04G084400.Wm82.a2.v1",256,154,208,206,229,169,152,114,98
"Glyma.04G084500.Wm82.a2.v1",0,0,5,0,4,0,0,0,0
"Glyma.04G084600.Wm82.a2.v1",20,0,12,13,14,15,2,3,1
"Glyma.04G084700.Wm82.a2.v1",21,0,12,9,5,2,0,12,3
"Glyma.04G084800.Wm82.a2.v1",433,219,199,257,209,163,123,113,127
"Glyma.04G084900.Wm82.a2.v1",227,477,194,495,367,376,140,115,120
"Glyma.04G085000.Wm82.a2.v1",365,243,279,421,416,187,215,138,153
"Glyma.04G085100.Wm82.a2.v1",0,4,1,0,0,0,0,0,0
"Glyma.04G085200.Wm82.a2.v1",460,458,408,230,282,190,178,126,160
"Glyma.04G085300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G085400.Wm82.a2.v1",3,0,4,0,1,0,0,0,0
"Glyma.04G085500.Wm82.a2.v1",350,169,247,82,92,105,147,76,46
"Glyma.04G085600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G085700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G085800.Wm82.a2.v1",0,0,1,1,0,1,0,0,0
"Glyma.04G085900.Wm82.a2.v1",348,163,308,254,166,174,165,100,111
"Glyma.04G086000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G086100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G086200.Wm82.a2.v1",355,224,214,144,231,153,125,121,107
"Glyma.04G086300.Wm82.a2.v1",243,244,131,184,157,150,160,111,93
"Glyma.04G086400.Wm82.a2.v1",398,254,320,303,278,228,267,274,259
"Glyma.04G086500.Wm82.a2.v1",194,93,99,82,102,103,77,59,61
"Glyma.04G086600.Wm82.a2.v1",50,0,35,10,37,10,0,0,5
"Glyma.04G086700.Wm82.a2.v1",0,0,1,6,3,4,7,10,4
"Glyma.04G086800.Wm82.a2.v1",1680,885,1580,1420,923,1097,953,685,672
"Glyma.04G086900.Wm82.a2.v1",1181,453,750,519,605,492,172,174,98
"Glyma.04G087000.Wm82.a2.v1",298,138,204,424,282,323,238,134,156
"Glyma.04G087100.Wm82.a2.v1",851,451,743,161,147,115,63,38,53
"Glyma.04G087200.Wm82.a2.v1",655,368,574,313,340,290,283,227,167
"Glyma.04G087300.Wm82.a2.v1",1506,848,1256,1382,1096,988,1096,896,927
"Glyma.04G087400.Wm82.a2.v1",2,0,6,5,6,5,4,2,1
"Glyma.04G087500.Wm82.a2.v1",6,3,19,15,1,14,3,0,0
"Glyma.04G087600.Wm82.a2.v1",0,0,0,0,3,0,0,1,0
"Glyma.04G087700.Wm82.a2.v1",362,347,375,217,213,191,85,76,51
"Glyma.04G087800.Wm82.a2.v1",1314,973,910,430,348,196,140,140,94
"Glyma.04G087900.Wm82.a2.v1",1,0,0,0,0,0,0,0,1
"Glyma.04G088000.Wm82.a2.v1",395,291,246,187,169,122,219,125,101
"Glyma.04G088100.Wm82.a2.v1",634,264,418,726,501,548,432,355,363
"Glyma.04G088200.Wm82.a2.v1",1,29,9,11,38,12,4,7,6
"Glyma.04G088300.Wm82.a2.v1",385,259,254,222,193,174,73,82,65
"Glyma.04G088400.Wm82.a2.v1",555,412,511,661,695,681,353,326,296
"Glyma.04G088500.Wm82.a2.v1",9936,7077,9271,3212,3328,2170,1476,1098,1528
"Glyma.04G088600.Wm82.a2.v1",32,14,18,12,20,17,11,8,14
"Glyma.04G088700.Wm82.a2.v1",51,31,43,7,5,2,10,4,19
"Glyma.04G088800.Wm82.a2.v1",1,6,2,0,13,5,1,0,0
"Glyma.04G088900.Wm82.a2.v1",15,13,11,5,7,3,2,1,6
"Glyma.04G089000.Wm82.a2.v1",0,0,0,0,0,0,0,1,0
"Glyma.04G089100.Wm82.a2.v1",5,0,1,0,6,3,0,0,0
"Glyma.04G089200.Wm82.a2.v1",144,141,176,107,183,64,83,68,58
"Glyma.04G089300.Wm82.a2.v1",122,145,90,114,123,70,112,126,125
"Glyma.04G089400.Wm82.a2.v1",702,411,595,521,460,374,372,333,270
"Glyma.04G089500.Wm82.a2.v1",22,17,27,15,25,23,2,4,2
"Glyma.04G089600.Wm82.a2.v1",664,423,442,579,563,618,530,428,434
"Glyma.04G089700.Wm82.a2.v1",175,93,145,391,318,572,405,389,335
"Glyma.04G089800.Wm82.a2.v1",490,351,460,393,366,364,441,306,263
"Glyma.04G089900.Wm82.a2.v1",1581,1774,1354,1012,1048,852,472,347,589
"Glyma.04G090000.Wm82.a2.v1",0,0,4,1,0,0,0,0,2
"Glyma.04G090100.Wm82.a2.v1",49,58,60,26,13,28,1,4,16
"Glyma.04G090200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G090300.Wm82.a2.v1",138,109,142,76,121,85,19,46,2
"Glyma.04G090400.Wm82.a2.v1",523,410,478,372,361,342,350,321,234
"Glyma.04G090500.Wm82.a2.v1",308,254,213,166,219,185,135,129,122
"Glyma.04G090600.Wm82.a2.v1",6,4,6,15,3,0,24,13,0
"Glyma.04G090700.Wm82.a2.v1",33,20,38,146,48,41,63,54,16
"Glyma.04G090800.Wm82.a2.v1",0,4,0,0,0,0,0,0,0
"Glyma.04G090900.Wm82.a2.v1",236,160,164,254,208,151,160,127,139
"Glyma.04G091000.Wm82.a2.v1",0,1,0,0,0,0,4,1,3
"Glyma.04G091100.Wm82.a2.v1",0,0,0,5,4,0,3,6,8
"Glyma.04G091200.Wm82.a2.v1",0,10,0,0,0,0,0,0,0
"Glyma.04G091300.Wm82.a2.v1",1,0,5,0,0,0,3,0,0
"Glyma.04G091400.Wm82.a2.v1",253,260,224,27,41,36,9,5,47
"Glyma.04G091500.Wm82.a2.v1",771,778,461,304,364,296,146,93,186
"Glyma.04G091600.Wm82.a2.v1",730,368,426,58,100,60,9,5,33
"Glyma.04G091700.Wm82.a2.v1",1410,1024,1104,967,844,757,626,533,407
"Glyma.04G091800.Wm82.a2.v1",28093,30103,28092,15745,13056,7022,5279,4038,5119
"Glyma.04G091900.Wm82.a2.v1",11,15,17,12,1,8,11,8,7
"Glyma.04G092000.Wm82.a2.v1",0,0,0,3,0,0,2,1,0
"Glyma.04G092100.Wm82.a2.v1",196,229,520,51,51,87,39,30,19
"Glyma.04G092200.Wm82.a2.v1",157,102,135,115,119,96,48,19,11
"Glyma.04G092300.Wm82.a2.v1",363,250,263,242,212,231,193,186,115
"Glyma.04G092400.Wm82.a2.v1",3207,1622,2495,1950,1663,1392,920,729,486
"Glyma.04G092500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G092600.Wm82.a2.v1",2131,1555,1523,1281,1277,1071,731,483,531
"Glyma.04G092700.Wm82.a2.v1",1105,1283,908,860,1037,1001,642,517,586
"Glyma.04G092800.Wm82.a2.v1",336,202,336,149,188,163,298,270,221
"Glyma.04G092900.Wm82.a2.v1",279,189,166,106,139,118,89,62,94
"Glyma.04G093000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G093100.Wm82.a2.v1",619,464,552,392,504,432,281,219,189
"Glyma.04G093200.Wm82.a2.v1",362,220,264,131,65,22,10,3,5
"Glyma.04G093300.Wm82.a2.v1",2428,1768,2052,2388,2253,1924,549,433,662
"Glyma.04G093400.Wm82.a2.v1",953,548,770,515,435,413,460,325,259
"Glyma.04G093500.Wm82.a2.v1",610,567,527,221,287,189,309,268,209
"Glyma.04G093600.Wm82.a2.v1",788,482,530,603,390,482,372,306,262
"Glyma.04G093700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G093800.Wm82.a2.v1",665,443,624,511,372,442,431,378,269
"Glyma.04G093900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G094000.Wm82.a2.v1",427,433,488,350,443,351,307,234,335
"Glyma.04G094100.Wm82.a2.v1",221,276,199,121,129,97,54,57,61
"Glyma.04G094200.Wm82.a2.v1",18,10,0,1,0,6,3,5,5
"Glyma.04G094300.Wm82.a2.v1",364,276,377,267,221,199,194,121,75
"Glyma.04G094400.Wm82.a2.v1",70,31,56,5,11,6,11,5,1
"Glyma.04G094500.Wm82.a2.v1",566,333,446,610,496,664,431,290,344
"Glyma.04G094600.Wm82.a2.v1",868,517,587,1089,883,1062,1146,888,1139
"Glyma.04G094700.Wm82.a2.v1",16,19,16,5,0,1,0,0,0
"Glyma.04G094800.Wm82.a2.v1",1,0,0,1,5,0,0,0,0
"Glyma.04G094900.Wm82.a2.v1",57,73,46,29,54,37,25,11,16
"Glyma.04G095000.Wm82.a2.v1",29,15,20,49,29,77,22,30,29
"Glyma.04G095100.Wm82.a2.v1",1,10,1,0,0,0,0,0,0
"Glyma.04G095200.Wm82.a2.v1",135,153,122,102,103,105,71,37,17
"Glyma.04G095300.Wm82.a2.v1",211,169,197,217,163,185,142,122,102
"Glyma.04G095400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G095500.Wm82.a2.v1",1116,643,942,675,554,525,540,491,331
"Glyma.04G095600.Wm82.a2.v1",29,11,15,4,10,4,5,4,6
"Glyma.04G095700.Wm82.a2.v1",309,189,244,253,179,245,219,151,142
"Glyma.04G095800.Wm82.a2.v1",375,105,266,352,225,361,248,198,242
"Glyma.04G095900.Wm82.a2.v1",413,494,318,485,505,386,335,187,265
"Glyma.04G096000.Wm82.a2.v1",251,70,166,24,35,33,5,18,7
"Glyma.04G096100.Wm82.a2.v1",1091,499,1054,936,558,785,729,720,641
"Glyma.04G096200.Wm82.a2.v1",673,506,589,339,340,354,418,327,290
"Glyma.04G096300.Wm82.a2.v1",247,137,146,67,92,70,77,67,32
"Glyma.04G096400.Wm82.a2.v1",66,23,39,0,0,2,3,1,0
"Glyma.04G096500.Wm82.a2.v1",15,2,10,3,2,2,2,5,2
"Glyma.04G096600.Wm82.a2.v1",1381,902,1316,1358,925,1013,698,545,620
"Glyma.04G096700.Wm82.a2.v1",267,95,144,117,122,148,142,151,119
"Glyma.04G096800.Wm82.a2.v1",588,440,597,584,420,405,192,188,194
"Glyma.04G096900.Wm82.a2.v1",2951,1111,2478,2479,1467,1708,1704,1359,1405
"Glyma.04G097000.Wm82.a2.v1",46,75,43,46,18,56,45,33,19
"Glyma.04G097100.Wm82.a2.v1",305,239,317,268,199,263,244,192,258
"Glyma.04G097200.Wm82.a2.v1",71,145,119,147,82,118,57,40,81
"Glyma.04G097300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G097400.Wm82.a2.v1",160,85,173,279,273,305,162,187,191
"Glyma.04G097500.Wm82.a2.v1",23,28,31,51,44,34,32,6,28
"Glyma.04G097600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G097700.Wm82.a2.v1",78,81,102,79,53,53,27,26,37
"Glyma.04G097800.Wm82.a2.v1",7,14,29,8,13,3,1,4,9
"Glyma.04G097900.Wm82.a2.v1",477,310,426,260,124,24,1,2,13
"Glyma.04G098000.Wm82.a2.v1",57,124,162,9,19,19,6,24,5
"Glyma.04G098100.Wm82.a2.v1",75,109,56,72,59,42,117,83,80
"Glyma.04G098200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G098300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G098400.Wm82.a2.v1",143,96,103,186,81,65,32,24,58
"Glyma.04G098500.Wm82.a2.v1",14,6,4,1,0,0,0,0,0
"Glyma.04G098600.Wm82.a2.v1",30,15,30,50,31,13,6,9,4
"Glyma.04G098700.Wm82.a2.v1",3,3,3,0,0,0,0,0,0
"Glyma.04G098800.Wm82.a2.v1",545,332,499,55,91,37,15,1,6
"Glyma.04G098900.Wm82.a2.v1",518,416,443,508,488,421,295,276,253
"Glyma.04G099000.Wm82.a2.v1",38,22,25,21,14,16,7,6,5
"Glyma.04G099100.Wm82.a2.v1",235,176,171,143,138,173,96,69,90
"Glyma.04G099200.Wm82.a2.v1",0,0,0,0,0,0,10,5,0
"Glyma.04G099300.Wm82.a2.v1",17,13,6,15,12,6,53,56,7
"Glyma.04G099400.Wm82.a2.v1",295,161,172,190,213,178,108,90,77
"Glyma.04G099500.Wm82.a2.v1",9,8,3,6,4,5,10,3,7
"Glyma.04G099600.Wm82.a2.v1",420,363,360,79,107,107,24,29,24
"Glyma.04G099700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G099800.Wm82.a2.v1",4,3,12,0,0,0,4,0,0
"Glyma.04G099900.Wm82.a2.v1",7081,5042,5822,4078,3633,2701,1877,1381,1244
"Glyma.04G100000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G100100.Wm82.a2.v1",1159,1131,1043,1052,883,756,694,718,796
"Glyma.04G100200.Wm82.a2.v1",4,0,2,1,6,3,0,0,1
"Glyma.04G100300.Wm82.a2.v1",103,99,523,34,27,10,4,1,3
"Glyma.04G100400.Wm82.a2.v1",2655,1925,2300,190,331,132,31,32,24
"Glyma.04G100500.Wm82.a2.v1",22,7,4,1,0,0,0,0,0
"Glyma.04G100600.Wm82.a2.v1",292,193,224,143,80,55,21,20,29
"Glyma.04G100700.Wm82.a2.v1",295,158,322,111,148,44,52,36,29
"Glyma.04G100800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G100900.Wm82.a2.v1",164,44,81,83,69,116,126,114,150
"Glyma.04G101000.Wm82.a2.v1",552,388,677,956,592,848,648,499,408
"Glyma.04G101100.Wm82.a2.v1",536,365,396,345,339,243,296,219,180
"Glyma.04G101200.Wm82.a2.v1",166,90,166,106,60,97,103,57,62
"Glyma.04G101300.Wm82.a2.v1",713,623,636,532,452,371,251,207,236
"Glyma.04G101400.Wm82.a2.v1",13,26,20,21,17,31,41,38,53
"Glyma.04G101500.Wm82.a2.v1",173,98,104,209,195,184,146,148,84
"Glyma.04G101600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G101700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G101800.Wm82.a2.v1",1,1,0,2,0,0,0,5,0
"Glyma.04G101900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G102000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G102100.Wm82.a2.v1",0,0,5,0,0,0,0,0,0
"Glyma.04G102200.Wm82.a2.v1",68,82,50,21,40,13,8,7,7
"Glyma.04G102300.Wm82.a2.v1",259,199,226,226,272,191,220,181,125
"Glyma.04G102400.Wm82.a2.v1",431,626,401,344,237,140,0,0,7
"Glyma.04G102500.Wm82.a2.v1",62,59,41,22,23,9,2,4,0
"Glyma.04G102600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G102700.Wm82.a2.v1",0,0,0,0,8,1,0,0,0
"Glyma.04G102800.Wm82.a2.v1",40,33,10,0,0,0,1,0,0
"Glyma.04G102900.Wm82.a2.v1",39,46,35,0,0,0,0,0,0
"Glyma.04G103000.Wm82.a2.v1",898,649,701,314,358,336,221,173,136
"Glyma.04G103100.Wm82.a2.v1",116,31,110,84,20,61,50,29,20
"Glyma.04G103200.Wm82.a2.v1",5,9,8,0,2,6,2,2,11
"Glyma.04G103300.Wm82.a2.v1",5,14,8,5,9,11,9,2,18
"Glyma.04G103400.Wm82.a2.v1",75,9,37,34,49,23,74,52,7
"Glyma.04G103500.Wm82.a2.v1",81,95,66,15,19,3,2,1,1
"Glyma.04G103600.Wm82.a2.v1",72,62,36,19,18,7,8,2,18
"Glyma.04G103700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G103800.Wm82.a2.v1",0,15,0,0,0,0,0,0,0
"Glyma.04G103900.Wm82.a2.v1",2953,3087,3760,1307,1032,624,1082,801,345
"Glyma.04G104000.Wm82.a2.v1",4,0,0,0,0,0,0,0,0
"Glyma.04G104100.Wm82.a2.v1",1,0,0,40,303,237,0,0,0
"Glyma.04G104200.Wm82.a2.v1",344,234,280,611,465,410,356,205,156
"Glyma.04G104300.Wm82.a2.v1",29,26,19,19,5,0,4,6,1
"Glyma.04G104400.Wm82.a2.v1",0,3,7,5,33,17,9,15,10
"Glyma.04G104500.Wm82.a2.v1",118,65,89,62,43,43,44,35,15
"Glyma.04G104600.Wm82.a2.v1",7724,7135,5389,4223,4369,3602,2816,2074,2229
"Glyma.04G104700.Wm82.a2.v1",18,6,9,0,0,0,1,0,0
"Glyma.04G104800.Wm82.a2.v1",12,30,28,6,9,6,14,9,4
"Glyma.04G104900.Wm82.a2.v1",3515,1773,3447,1849,1030,954,792,607,632
"Glyma.04G105000.Wm82.a2.v1",112,64,128,65,120,80,71,65,41
"Glyma.04G105100.Wm82.a2.v1",13,0,0,9,0,0,6,0,0
"Glyma.04G105200.Wm82.a2.v1",0,0,1,0,0,0,0,1,0
"Glyma.04G105300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G105400.Wm82.a2.v1",0,0,0,0,0,0,0,0,1
"Glyma.04G105500.Wm82.a2.v1",5,3,7,4,2,3,47,8,0
"Glyma.04G105600.Wm82.a2.v1",21,3,10,2,3,4,2,0,5
"Glyma.04G105700.Wm82.a2.v1",0,0,2,0,0,0,0,0,0
"Glyma.04G105800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G105900.Wm82.a2.v1",7,2,8,4,9,5,67,9,0
"Glyma.04G106000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G106100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G106200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G106300.Wm82.a2.v1",6,2,3,4,0,0,4,1,0
"Glyma.04G106400.Wm82.a2.v1",45,113,94,30,28,28,6,1,12
"Glyma.04G106500.Wm82.a2.v1",0,0,0,0,0,0,0,0,1
"Glyma.04G106600.Wm82.a2.v1",0,0,0,0,0,0,1,0,0
"Glyma.04G106700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G106800.Wm82.a2.v1",291,53,113,7,0,13,0,2,1
"Glyma.04G106900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G107000.Wm82.a2.v1",12,4,5,10,2,1,5,3,1
"Glyma.04G107100.Wm82.a2.v1",1101,655,1090,571,607,521,676,578,404
"Glyma.04G107200.Wm82.a2.v1",4,0,0,4,2,10,1,0,0
"Glyma.04G107300.Wm82.a2.v1",223,50,142,117,88,95,108,71,83
"Glyma.04G107400.Wm82.a2.v1",1154,584,1017,897,805,758,657,462,477
"Glyma.04G107500.Wm82.a2.v1",10,17,0,47,31,29,38,3,10
"Glyma.04G107600.Wm82.a2.v1",18,3,6,15,3,21,25,16,5
"Glyma.04G107700.Wm82.a2.v1",1,1,0,0,0,16,2,2,0
"Glyma.04G107800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G107900.Wm82.a2.v1",975,600,582,381,420,321,490,332,155
"Glyma.04G108000.Wm82.a2.v1",145,103,100,76,86,62,20,26,43
"Glyma.04G108100.Wm82.a2.v1",483,317,465,473,525,429,397,277,280
"Glyma.04G108200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G108300.Wm82.a2.v1",7,0,0,4,4,3,3,2,1
"Glyma.04G108400.Wm82.a2.v1",16,6,8,20,5,18,3,4,7
"Glyma.04G108500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G108600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G108700.Wm82.a2.v1",7,24,1,7,10,16,4,13,28
"Glyma.04G108800.Wm82.a2.v1",0,0,0,0,1,0,0,0,0
"Glyma.04G108900.Wm82.a2.v1",0,1,2,1,0,0,1,0,1
"Glyma.04G109000.Wm82.a2.v1",18,4,2,2,9,15,0,0,0
"Glyma.04G109100.Wm82.a2.v1",0,0,0,0,0,8,0,2,0
"Glyma.04G109200.Wm82.a2.v1",0,0,0,0,0,1,1,1,0
"Glyma.04G109300.Wm82.a2.v1",0,0,0,7,0,3,0,0,3
"Glyma.04G109400.Wm82.a2.v1",0,1,0,0,0,0,0,0,0
"Glyma.04G109500.Wm82.a2.v1",0,0,3,2,6,9,1,5,3
"Glyma.04G109600.Wm82.a2.v1",1,0,0,1,0,0,0,0,0
"Glyma.04G109700.Wm82.a2.v1",55,26,44,18,22,18,8,13,15
"Glyma.04G109800.Wm82.a2.v1",0,1,0,0,0,0,0,0,0
"Glyma.04G109900.Wm82.a2.v1",223,160,209,141,116,105,31,41,41
"Glyma.04G110000.Wm82.a2.v1",370,428,307,384,895,291,203,20,39
"Glyma.04G110100.Wm82.a2.v1",30,35,40,0,1,0,0,0,0
"Glyma.04G110200.Wm82.a2.v1",0,0,1,0,0,0,0,0,0
"Glyma.04G110300.Wm82.a2.v1",107,67,55,68,52,27,60,44,28
"Glyma.04G110400.Wm82.a2.v1",7,11,6,1,3,5,223,160,0
"Glyma.04G110500.Wm82.a2.v1",18,16,35,42,20,25,26,17,15
"Glyma.04G110600.Wm82.a2.v1",12,19,8,5,1,22,8,12,12
"Glyma.04G110700.Wm82.a2.v1",579,300,417,308,267,154,168,133,109
"Glyma.04G110800.Wm82.a2.v1",3,17,5,1,6,1,5,1,4
"Glyma.04G110900.Wm82.a2.v1",224,105,182,156,149,72,91,56,58
"Glyma.04G111000.Wm82.a2.v1",887,610,654,531,624,580,771,520,404
"Glyma.04G111100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G111200.Wm82.a2.v1",302,127,262,193,150,145,88,75,89
"Glyma.04G111300.Wm82.a2.v1",21,1,23,7,7,4,9,2,0
"Glyma.04G111400.Wm82.a2.v1",30,10,23,16,21,4,5,2,2
"Glyma.04G111500.Wm82.a2.v1",2299,2295,1808,2120,2188,2137,1060,902,1050
"Glyma.04G111600.Wm82.a2.v1",119,23,66,128,140,103,109,62,90
"Glyma.04G111700.Wm82.a2.v1",118,116,159,233,181,131,207,116,156
"Glyma.04G111800.Wm82.a2.v1",10,0,3,1,0,21,0,2,7
"Glyma.04G111900.Wm82.a2.v1",719,565,602,566,517,435,422,373,324
"Glyma.04G112000.Wm82.a2.v1",12,0,1,1,0,4,3,2,0
"Glyma.04G112100.Wm82.a2.v1",7,0,5,1,3,0,1,1,0
"Glyma.04G112200.Wm82.a2.v1",1,0,0,0,0,0,0,0,0
"Glyma.04G112300.Wm82.a2.v1",820,530,785,872,1035,1028,714,834,770
"Glyma.04G112400.Wm82.a2.v1",11,14,12,2,0,1,1,11,3
"Glyma.04G112500.Wm82.a2.v1",288,240,215,263,186,230,146,103,86
"Glyma.04G112600.Wm82.a2.v1",403,243,345,245,210,259,220,178,151
"Glyma.04G112700.Wm82.a2.v1",399,263,388,321,329,246,103,86,109
"Glyma.04G112800.Wm82.a2.v1",1163,1920,1107,2109,1945,1841,863,478,511
"Glyma.04G112900.Wm82.a2.v1",25,28,29,22,31,11,11,14,1
"Glyma.04G113000.Wm82.a2.v1",179,129,139,99,67,100,66,48,26
"Glyma.04G113100.Wm82.a2.v1",8,0,6,0,0,0,0,0,0
"Glyma.04G113200.Wm82.a2.v1",0,0,0,0,0,10,0,0,0
"Glyma.04G113300.Wm82.a2.v1",27,0,7,19,39,9,46,15,7
"Glyma.04G113400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G113500.Wm82.a2.v1",1,8,2,0,1,1,4,1,0
"Glyma.04G113600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G113700.Wm82.a2.v1",347,130,447,376,359,337,319,257,204
"Glyma.04G113800.Wm82.a2.v1",51,11,69,43,44,31,1,1,7
"Glyma.04G113900.Wm82.a2.v1",92,77,54,31,59,49,1,5,7
"Glyma.04G114000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G114100.Wm82.a2.v1",177,75,111,116,85,137,50,43,132
"Glyma.04G114200.Wm82.a2.v1",54,17,32,29,31,35,12,12,38
"Glyma.04G114300.Wm82.a2.v1",1114,661,951,736,711,652,744,634,516
"Glyma.04G114400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G114500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G114600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G114700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G114800.Wm82.a2.v1",1015,470,703,621,494,499,368,292,272
"Glyma.04G114900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G115000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G115100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G115200.Wm82.a2.v1",6,0,0,0,0,0,0,0,0
"Glyma.04G115300.Wm82.a2.v1",7,2,8,15,20,24,11,4,8
"Glyma.04G115400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G115500.Wm82.a2.v1",598,430,410,632,425,446,228,261,206
"Glyma.04G115600.Wm82.a2.v1",227,136,209,12,9,17,4,0,0
"Glyma.04G115700.Wm82.a2.v1",122,95,259,89,35,46,46,53,15
"Glyma.04G115800.Wm82.a2.v1",17,0,2,0,0,7,0,0,0
"Glyma.04G115900.Wm82.a2.v1",801,470,636,511,417,396,425,316,270
"Glyma.04G116000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G116100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G116200.Wm82.a2.v1",3,7,6,1,2,0,4,1,2
"Glyma.04G116300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G116400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G116500.Wm82.a2.v1",2833,2305,2147,2437,2232,2481,1993,1520,1618
"Glyma.04G116600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.04G116700.Wm82.a2.v1",507,307,489,447,378,341,354,304,294
"Glyma.04G116800.Wm82.a2.v1",14,1,1,2,2,1,0,1,3
"Glyma.04G116900.Wm82.a2.v1",537,425,345,198,117,32,64,44,5
"Glyma.04G117000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
