,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
Glyma.18G082600,7.37432082,3.601496594,0.986953657,3.649104057,0.000263157,0.014944561,FDR < 0.05
Glyma.18G182800,109.3727837,-3.590036938,0.652933495,-5.498319454,3.83E-08,2.10E-05,FDR < 0.05
Glyma.06G110800,15.51232533,3.564745622,0.788639725,4.520119276,6.18E-06,0.000955384,FDR < 0.05
Glyma.10G283600,5.066159273,3.531029287,0.936134609,3.771924733,0.000161993,0.010477243,FDR < 0.05
Glyma.03G087500,7.130581297,3.506411355,1.04624843,3.351413731,0.000804001,0.033466199,FDR < 0.05
Glyma.04G017200,14.26673975,3.476101305,0.821194378,4.232982348,2.31E-05,0.002619281,FDR < 0.05
Glyma.05G223400,131.528665,3.445109545,0.273061392,12.61661168,1.71E-36,2.12E-32,FDR < 0.05
Glyma.14G153800,10.80753579,3.429375118,0.790853444,4.33629662,1.45E-05,0.001861459,FDR < 0.05
Glyma.03G129100,31.73564391,-3.378963091,0.4002639,-8.441838233,3.12E-17,1.16E-13,FDR < 0.05
Glyma.10G053000,3.25626674,3.375267504,0.994994662,3.392246847,0.00069322,0.03038259,FDR < 0.05
Glyma.07G005800,92.15523521,3.374714561,0.793913788,4.250731772,2.13E-05,0.002449947,FDR < 0.05
Glyma.04G127200,6.141764476,3.34251158,0.919239768,3.63616947,0.000276722,0.015549039,FDR < 0.05
Glyma.04G005700,6.178057077,3.310272809,0.799951626,4.138091233,3.50E-05,0.003564649,FDR < 0.05
Glyma.06G269300,19.83376865,3.286263371,0.838784096,3.917889463,8.93E-05,0.006904377,FDR < 0.05
Glyma.11G003100,22.99908218,3.27013168,0.68284109,4.789008351,1.68E-06,0.000367297,FDR < 0.05
Glyma.06G090900,8.069676181,3.25591029,0.88902061,3.662356367,0.000249906,0.014524171,FDR < 0.05
Glyma.02G030800,5.358504319,-3.253427757,0.931996413,-3.49081575,0.000481548,0.023358851,FDR < 0.05
