,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
Glyma.03G104800,125.4072732,1.628648858,0.240106464,6.783027947,1.18E-11,7.44E-09,FDR < 0.005
Glyma.13G208900,107.6839767,1.598526779,0.277603585,5.758307409,8.50E-09,4.06E-06,FDR < 0.005
Glyma.19G126400,37.78166516,1.517713283,0.30859307,4.918170339,8.74E-07,0.000305624,FDR < 0.005
Glyma.13G208200,1138.010471,1.410285573,0.178333222,7.908148336,2.61E-15,2.33E-12,FDR < 0.005
Glyma.13G211000,206.4636271,1.393927829,0.258488674,5.392606984,6.94E-08,2.93E-05,FDR < 0.005
Glyma.16G206100,749.3082735,1.355606975,0.317466988,4.270072248,1.95E-05,0.004939956,FDR < 0.005
Glyma.13G215000,498.2000144,1.351027608,0.197060117,6.855915987,7.09E-12,4.79E-09,FDR < 0.005
Glyma.09G169100,19.00029496,1.34823835,0.292670885,4.606670567,4.09E-06,0.001272446,FDR < 0.005
Glyma.06G319700,172.3957309,1.345086424,0.293272647,4.586470774,4.51E-06,0.001390882,FDR < 0.005
Glyma.17G126500,360.8095038,1.335998928,0.285016937,4.687436967,2.77E-06,0.000881315,FDR < 0.005
Glyma.13G206500,1829.319769,1.331919409,0.148794863,8.951380322,3.51E-19,5.09E-16,FDR < 0.005
Glyma.06G235900,80.62669245,-1.312890283,0.298114802,-4.403975491,1.06E-05,0.003036807,FDR < 0.005
Glyma.14G079500,31.86344025,1.30631908,0.303809316,4.299799282,1.71E-05,0.00443617,FDR < 0.005
Glyma.13G204200,96.26904874,1.246741771,0.187853859,6.636764216,3.21E-11,1.93E-08,FDR < 0.005
Glyma.13G063100,666.7932619,1.24143834,0.208642323,5.950079174,2.68E-09,1.36E-06,FDR < 0.005
Glyma.15G036800,44.76129919,-1.241294191,0.28171792,-4.406159852,1.05E-05,0.003031554,FDR < 0.005
Glyma.13G216500,119.6476886,1.230873638,0.236210711,5.210913721,1.88E-07,7.29E-05,FDR < 0.005
Glyma.13G215400,199.3909227,1.227774237,0.170501921,7.200940791,5.98E-13,4.59E-10,FDR < 0.005
Glyma.13G217500,341.9430501,1.224049858,0.232905481,5.255564836,1.48E-07,5.84E-05,FDR < 0.005
Glyma.13G215600,43.17599149,1.222497705,0.279952859,4.366798432,1.26E-05,0.003479125,FDR < 0.005
Glyma.17G078900,182.4359509,1.222097704,0.28186038,4.335826504,1.45E-05,0.00389729,FDR < 0.005
Glyma.13G211400,329.7643667,1.21811099,0.131298715,9.277402251,1.74E-20,3.09E-17,FDR < 0.005
Glyma.13G211200,125.4623024,1.211513791,0.170138655,7.120743917,1.07E-12,8.09E-10,FDR < 0.005
Glyma.13G204900,373.2271672,1.203060941,0.143290278,8.395970475,4.62E-17,5.33E-14,FDR < 0.005
Glyma.13G209800,451.5940691,1.187879583,0.153040667,7.761855745,8.37E-15,6.98E-12,FDR < 0.005
Glyma.13G211800,365.8487174,1.162073275,0.122071305,9.519626842,1.74E-21,3.24E-18,FDR < 0.005
Glyma.03G063600,143.9097862,1.160136309,0.243319555,4.767953435,1.86E-06,0.000628656,FDR < 0.005
Glyma.13G217000,471.515501,1.157099741,0.134692354,8.590686146,8.65E-18,1.13E-14,FDR < 0.005
Glyma.13G214800,280.3770866,1.156930343,0.110449387,10.4747557,1.13E-25,3.16E-22,FDR < 0.005
Glyma.13G206600,298.9350679,1.150008892,0.13487807,8.526285187,1.51E-17,1.91E-14,FDR < 0.005
Glyma.05G181100,302.2092744,1.143141627,0.24978845,4.576439093,4.73E-06,0.001436617,FDR < 0.005
Glyma.13G210900,387.8024885,1.142902126,0.14183323,8.058070209,7.75E-16,7.41E-13,FDR < 0.005
Glyma.15G040100,60.52491597,1.135571098,0.255520527,4.444148227,8.82E-06,0.002563278,FDR < 0.005
Glyma.09G149500,249.2116179,1.133188068,0.164659003,6.88202923,5.90E-12,4.13E-09,FDR < 0.005
Glyma.13G210400,307.445135,1.13304255,0.123236179,9.194074028,3.78E-20,6.18E-17,FDR < 0.005
Glyma.03G189100,841.353422,-1.132080993,0.141092789,-8.023663013,1.03E-15,9.58E-13,FDR < 0.005
Glyma.06G000100,273.29817,1.126813378,0.136285273,8.268049437,1.36E-16,1.44E-13,FDR < 0.005
Glyma.13G213400,401.704377,1.117052062,0.121208868,9.215926852,3.09E-20,5.26E-17,FDR < 0.005
Glyma.11G171200,73.24628899,1.111032416,0.25858006,4.296667013,1.73E-05,0.004469692,FDR < 0.005
Glyma.13G213900,93.70315013,1.099217107,0.199635493,5.506120643,3.67E-08,1.62E-05,FDR < 0.005
Glyma.13G215200,451.8680774,1.097449894,0.120990091,9.070576625,1.18E-19,1.78E-16,FDR < 0.005
Glyma.13G216700,260.7025265,1.095363271,0.133158123,8.226034196,1.94E-16,1.94E-13,FDR < 0.005
Glyma.13G205300,530.5310417,1.090540828,0.126809488,8.599836222,7.98E-18,1.08E-14,FDR < 0.005
Glyma.13G208400,2012.008398,1.087928962,0.119588034,9.097306161,9.26E-20,1.45E-16,FDR < 0.005
Glyma.13G211600,464.5205314,1.073508107,0.105754112,10.15098218,3.28E-24,7.56E-21,FDR < 0.005
Glyma.13G209500,322.3503296,1.066879446,0.157539703,6.772130609,1.27E-11,7.89E-09,FDR < 0.005
Glyma.13G216100,771.7458918,1.062248852,0.109006957,9.744780352,1.94E-22,3.80E-19,FDR < 0.005
Glyma.13G211500,192.4045731,1.059513963,0.215230541,4.922693406,8.54E-07,0.000301332,FDR < 0.005
